AgmtID,Unique,C1_Region,C1_LDC,C2_OECD,C2_G20,C2_BEPS,C1,C2,Signedyear,Effectiveyear,Type,Ratified,Terminated,5i,5ii,5iii,5iv,5v,5vi,5vii,5viii,7i,7ii,8i,10i,10ii,10iii,11i,12i,12ii,12iii,12iv,13i,13ii,16i,18i,18ii,21i,27i,source.country,destination.country
3478,1,Asia,FALSE,FALSE,FALSE,FALSE,Pakistan,Kyrgyzstan,2005,2013,New treaty,Yes,No,6,YES,3,NO,NO,YES,YES,YES,YES,YES,"NA",10,"NA",10,10,10,YES,YES,"NA",YES,NO,YES,NO,YES,YES,No,PAK,KGZ
3722,1,Africa,TRUE,TRUE,FALSE,TRUE,Malawi,Norway,2009,2013,Renegotiation,Yes,No,6,YES,6,NO,NO,NO,YES,NO,NO,NO,NO,5,10,15,10,5,YES,NO,"NA",NO,NO,YES,YES,NO,YES,Yes,MWI,NOR
3866,1,Africa,TRUE,FALSE,FALSE,FALSE,Rwanda,Mauritius,2013,2013,Renegotiation,Yes,No,6,YES,6,NO,NO,YES,YES,NO,YES,YES,NO,10,"NA",10,10,10,YES,NO,12,NO,NO,NO,NO,YES,YES,Yes,RWA,MUS
4003,1,Asia,FALSE,FALSE,FALSE,FALSE,Vietnam,Morocco,2008,2013,New treaty,Yes,No,6,YES,NO,NO,NO,YES,YES,YES,YES,YES,NO,10,"NA",10,10,10,YES,YES,"NA",YES,YES,YES,NO,YES,YES,Yes,VNM,MAR
4521,1,Africa,TRUE,FALSE,FALSE,FALSE,Zambia,Seychelles,2010,2013,New treaty,Yes,No,6,YES,6,YES,YES,NO,NO,NO,NO,YES,NO,5,25,10,5,10,YES,YES,"NA",NO,NO,NO,YES,YES,YES,No,ZMB,SYC
602,1,Asia,TRUE,FALSE,FALSE,FALSE,Bangladesh,Mauritius,2009,2012,New treaty,Yes,No,12,YES,12,NO,NO,YES,NO,NO,NO,NO,YES,10,"NA",10,NO LIMIT,NO LIMIT,YES,NO,"NA",NO,NO,NO,NO,YES,NO,No,BGD,MUS
611,1,Asia,TRUE,FALSE,FALSE,FALSE,Bangladesh,Saudi Arabia,2011,2012,New treaty,Yes,No,6,YES,6,NO,NO,YES,NO,NO,YES,YES,YES,10,"NA",10,7.5,10,YES,YES,"NA",NO,YES,NO,NO,NO,YES,No,BGD,SAU
766,1,Africa,TRUE,TRUE,FALSE,TRUE,Congo (Dem. Rep.),Belgium,2007,2012,New treaty,Yes,No,6,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,10,25,15,10,10,YES,YES,"NA",YES,NO,NO,YES,YES,YES,yes,COD,BEL
1464,1,Africa,TRUE,FALSE,TRUE,TRUE,Zambia,China (People's Rep.),2010,2012,New treaty,Yes,No,9,YES,6,YES,YES,NO,NO,NO,NO,NO,NO,5,"NA",5,10,5,YES,NO,"NA",YES,NO,NO,NO,YES,NO,No,ZMB,CHN
2775,1,Africa,TRUE,FALSE,TRUE,TRUE,Mozambique,India,2010,2012,New treaty,Yes,No,12,YES,9,NO,NO,YES,YES,YES,NO,YES,NO,7.5,"NA",7.5,10,10,YES,YES,"NA",YES,YES,NO,NO,NO,YES,Yes,MOZ,IND
